n30,n50,scenario,total_capacity_mw,construction_cost_eok,transmission_cost_eok,ess_capacity_mwh,ess_cost_eok,total_project_cost_eok,mean_population_score,selected_sites
2,0,30MW 2개 + 50MW 0개,60,60000.0,45.41687313298301,37.244254444444444,74.48850888888889,60119.905382021876,0.33646493582658515,"30_S30_063731, 30_S30_073421"
0,1,30MW 0개 + 50MW 1개,50,40000.0,22.290218749071787,22.124881688888888,44.249763377777775,40066.539982126844,0.27049180327868855,50_S50_125199
1,0,30MW 1개 + 50MW 0개,30,30000.0,22.469253264978764,8.21674268888889,16.43348537777778,30038.902738642755,0.1503169196760878,30_S30_063733
